OBJECTID,预测房价
584,5381.5596
585,3487.9739
587,3487.9739
588,3487.9739
589,3487.9739
592,13177.102
597,8329.172
601,10243.624
607,13141.481
610,13144.613
613,12846.875
615,12817.182
618,12833.949
621,12749.162
623,11629.387
625,3651.174
626,3484.896
627,3487.9739
628,3487.9739
629,3487.9739
630,5381.5596
631,5381.5596
632,5381.5596
633,13728.023
639,14444.996
644,50321.992
650,53503.016
654,8044.577
657,13958.866
665,17965.996
670,15665.24
679,6865.539
683,14558.086
686,8329.172
687,5381.5596
688,5381.5596
689,5381.5596
690,4910.8315
691,4160.694
692,5100.865
693,3927.9104
694,5892.961
695,5715.3574
696,3955.9424
697,5229.125
698,5381.5596
699,5381.5596
700,5381.5596
701,5381.5596
702,5381.5596
703,5147.0264
704,12992.094
706,13547.005
710,12978.243
713,13097.725
715,12622.205
720,5703.4507
725,12504.327
732,12948.356
736,13073.667
742,12892.539
744,12521.496
747,12841.459
749,12988.732
752,12505.498
755,8652.657
756,11127.755
758,12407.592
761,12822.71
763,12886.505
765,13229.279
768,10284.378
770,3487.9739
771,5381.5596
772,5381.5596
773,14940.822
777,13483.777
779,17754.523
787,14788.183
794,15291.678
799,16643.514
803,14367.049
813,16793.63
824,15835.326
830,12224.531
834,8560.158
836,8285.411
837,5381.5596
838,5381.5596
839,5381.5596
840,5381.5596
841,5333.9595
842,5358.3574
843,5381.5596
844,5348.9453
845,5273.7017
846,4063.1633
847,5381.5596
848,5381.5596
849,8329.172
850,14634.804
853,12718.674
857,15513.911
860,14275.945
864,14217.274
868,10198.699
872,12716.575
874,12859.044
875,12776.852
880,13209.059
886,6086.499
891,3654.4578
895,8329.172
901,12151.934
902,12172.119
903,12031.07
904,12355.599
906,13304.8545
909,13130.665
913,13248.203
916,13247.604
920,12852.138
922,13071.027
924,13577.949
926,13537.025
928,13119.893
930,3471.6733
931,5381.5596
932,5381.5596
933,13363.843
934,20732.146
944,17120.775
953,15696.729
959,14959.66
972,17601.035
981,12999.852
991,12777.0
1000,3743.2227
1003,8329.172
1004,8329.172
1005,5381.5596
1006,5381.5596
1007,5381.5596
1008,5381.5596
1009,5381.5596
1010,5381.5596
1011,5381.5596
1012,5381.5596
1013,5381.5596
1014,6944.218
1015,12307.764
1018,11595.592
1021,7308.662
1024,14118.861
1028,12355.3
1033,16413.984
1038,16096.816
1042,13773.586
1046,12952.748
1051,3487.9739
1057,12859.044
1060,12909.67
1066,13481.67
1074,12394.385
1079,13225.569
1083,12826.162
1088,11672.284
1093,11319.008
1096,12651.772
1099,13035.014
1103,12983.193
1105,13042.515
1108,12980.684
1110,4772.733
1113,5022.777
1115,9107.391
1118,10528.477
1122,13178.367
1125,13069.848
1130,13077.316
1134,12587.296
1135,5381.5596
1136,12310.396
1141,16037.045
1146,13223.843
1153,13343.008
1160,19094.395
1168,18235.479
1175,8210.675
1185,12262.54
1194,13131.641
1201,9260.339
1207,8329.172
1208,8329.172
1209,5381.5596
1210,5381.5596
1211,5381.5596
1212,5381.5596
1213,5381.5596
1214,5381.5596
1215,5381.5596
1216,3487.9739
1217,9746.833
1219,14954.319
1222,15769.037
1229,12719.208
1234,12973.068
1236,5342.041
1238,12535.871
1240,3487.9739
1242,3487.9739
1246,12788.452
1248,13020.803
1253,12956.296
1257,12994.579
1261,13132.912
1263,13282.955
1266,12913.528
1271,4139.9565
1273,10550.464
1274,12655.595
1277,12720.875
1279,12758.183
1281,12798.993
1283,13040.731
1285,12982.036
1287,13050.28
1289,13083.203
1294,13142.483
1297,12379.088
1299,12877.356
1302,13006.506
1304,12206.092
1305,5381.5596
1306,13258.463
1313,5073.3423
1320,14955.3955
1328,13777.414
1332,20477.54
1337,10588.38
1344,6137.2104
1357,17050.26
1365,14288.831
1369,8357.31
1371,8329.172
1373,5381.5596
1374,5381.5596
1375,5381.5596
1376,5381.5596
1377,5381.5596
1378,5381.5596
1379,3487.9739
1380,13062.543
1384,15942.559
1388,14471.555
1393,16799.21
1397,16131.298
1403,12070.355
1411,12203.043
1414,12959.344
1418,3607.9495
1421,12398.781
1425,12790.146
1427,3487.9739
1431,12859.044
1434,12522.028
1440,13520.852
1445,12622.73
1452,11660.293
1457,8443.796
1462,12914.748
1467,13139.714
1471,13244.292
1473,12620.363
1476,12809.128
1478,12243.793
1479,12061.492
1481,11779.921
1484,12411.565
1487,12898.769
1489,13023.145
1491,12972.596
1493,12206.092
1494,12206.092
1496,13012.487
1498,12833.2295
1499,5381.5596
1500,5381.5596
1501,16292.734
1507,12995.736
1522,25121.303
1526,15792.703
1532,15592.845
1538,15807.07
1547,11885.592
1557,13376.338
1565,13452.05
1568,8329.172
1569,5381.5596
1570,5381.5596
1571,5381.5596
1572,5381.5596
1573,5381.5596
1574,5381.5596
1575,9923.637
1577,14929.543
1582,14493.211
1589,12897.027
1593,18889.02
1600,16971.998
1604,17230.248
1605,13808.576
1606,12538.15
1609,3526.632
1613,3487.9739
1618,12614.004
1622,12668.084
1626,12612.396
1629,12648.603
1634,7504.1875
1640,3724.3013
1642,3537.9548
1648,12032.675
1653,8317.148
1658,4057.6445
1663,12103.164
1668,12061.492
1670,12124.033
1672,12871.23
1674,13147.165
1676,13156.615
1679,13204.059
1682,12881.914
1686,12234.347
1687,12151.509
1688,13124.97
1690,12206.238
1691,12061.492
1693,12863.522
1696,13010.896
1698,12206.092
1699,5381.5596
1700,13636.11
1705,5913.6094
1712,11501.904
1718,9184.924
1726,10700.117
1736,13857.196
1745,15165.575
1752,12356.709
1754,8329.172
1755,5381.5596
1756,5381.5596
1757,5381.5596
1758,5381.5596
1759,5381.5596
1760,8783.849
1761,14728.078
1764,14884.939
1770,16435.41
1777,14926.808
1785,15379.499
1790,14110.408
1797,15784.772
1801,14883.678
1806,13176.127
1809,13858.006
1814,11510.17
1821,12284.574
1826,12859.044
1830,12859.044
1833,12526.57
1836,12859.044
1838,3487.9739
1840,11022.527
1846,10821.265
1851,10461.807
1860,11606.502
1866,3487.9739
1872,3505.663
1876,12206.092
1878,12206.092
1879,12206.092
1881,12175.602
1883,12206.092
1885,12061.492
1887,12967.777
1889,12845.685
1891,13148.989
1893,13110.737
1895,13131.406
1898,13547.316
1900,12230.3955
1901,12206.092
1903,13073.779
1905,12515.65
1906,12905.947
1907,3944.9739
1908,14065.659
1912,12972.369
1913,11198.367
1914,8813.401
1917,7043.0728
1919,14128.746
1921,15666.957
1927,16862.146
1952,10052.981
1960,4930.4185
1964,15575.838
1969,15933.3
1976,15049.416
1985,16263.183
1987,12744.386
1988,4204.849
1989,5366.6416
1990,5381.5596
1991,5381.5596
1992,5374.483
1993,12649.45
1997,20944.143
2005,14153.124
2014,16788.482
2018,17784.795
2024,13124.313
2028,15239.111
2036,18380.23
2044,17004.447
2052,13020.016
2060,12451.488
2062,14771.203
2065,12838.825
2070,12649.514
2076,11507.191
2081,10769.961
2084,3562.14
2089,3487.9739
