Id,center_x,center_y
329,114.5988375,30.48524182
330,114.2703066,30.48802749
331,114.3057023,30.48558359
332,114.3183277,30.48635312
333,114.3373636,30.4850787
334,114.3157564,30.48779322
335,114.3321576,30.48804205
336,114.3934686,30.48797743
337,114.4706863,30.48695829
338,114.3305326,30.48850159
339,114.3117197,30.48705327
340,114.3252981,30.48843282
341,114.4741518,30.48593577
342,114.2822174,30.48805286
343,114.3263544,30.48884948
344,114.3232007,30.48893308
345,114.3218165,30.48627072
346,114.3044264,30.48895827
347,114.6078077,30.48449663
348,114.4778855,30.48831863
349,114.3975404,30.48829487
350,114.3355913,30.49034169
351,114.256881,30.48831146
352,114.3416324,30.49008901
353,114.268918,30.48951707
354,114.2999928,30.48814243
355,114.3366612,30.48933029
356,114.4016937,30.48836171
357,114.306296,30.49012162
358,114.6038124,30.49024499
359,114.6094672,30.49070053
360,114.6136959,30.49081388
361,114.321379,30.4908856
362,114.5114698,30.4895034
363,114.5065183,30.49008128
364,114.4842234,30.4866847
365,114.5039851,30.49011928
366,114.4899121,30.48758558
367,114.5001434,30.48966364
368,114.49481,30.49022613
369,114.2671075,30.48704933
370,114.404445,30.49092243
371,114.3264489,30.49105725
372,114.3386683,30.49081787
373,114.330928,30.49104684
374,114.4011403,30.49135222
375,114.5991612,30.49081549
376,114.2988803,30.48953043
377,114.3881373,30.48921155
378,114.3789419,30.49241871
379,114.5115649,30.49245417
380,114.6136923,30.49240862
381,114.5040431,30.49266801
382,114.59443,30.4901638
383,114.4704291,30.49135196
384,114.6093552,30.49234083
385,114.3943013,30.49140343
386,114.3256847,30.49254939
387,114.2608439,30.49071177
388,114.2775916,30.48794182
389,114.3892898,30.49299972
390,114.2733318,30.49208309
391,114.3788805,30.49158528
392,114.3859297,30.4928459
393,114.3034783,30.49180895
394,114.3176726,30.49108225
395,114.3402348,30.49389664
396,114.5107298,30.4940216
397,114.341825,30.49244087
398,114.38211,30.49324532
399,114.603614,30.49263693
400,114.4966829,30.4935933
401,114.5001989,30.49357907
