Id,center_x,center_y,Clusters_2,Clusters_3,Clusters_4,Clusters_5
141,114.2534518,30.46289749,0.0,0.0,0.0,0.0
142,114.2757749,30.46373973,0.0,2.0,2.0,2.0
143,114.2499587,30.46225698,0.0,0.0,0.0,0.0
144,114.3398905,30.4637419,0.0,0.0,0.0,0.0
145,114.2612685,30.46258093,0.0,0.0,0.0,0.0
146,114.5873999,30.46376331,,,,
147,114.2809372,30.46269506,,,,
148,114.256868,30.46569604,0.0,0.0,1.0,0.0
149,114.3538953,30.46532669,1.0,1.0,1.0,4.0
150,114.2556938,30.46468351,0.0,0.0,0.0,0.0
151,114.2602442,30.46533165,0.0,0.0,0.0,0.0
152,114.3297487,30.46587869,,,,
153,114.2717637,30.46521714,,,,
154,114.5990747,30.46323421,1.0,1.0,1.0,4.0
155,114.2586765,30.4669083,0.0,0.0,0.0,0.0
156,114.2668842,30.46634266,0.0,2.0,0.0,0.0
157,114.2569395,30.46711639,0.0,0.0,0.0,0.0
158,114.2466089,30.46430901,0.0,0.0,0.0,0.0
159,114.3061398,30.46558296,0.0,0.0,0.0,0.0
160,114.326582,30.46781517,0.0,0.0,0.0,0.0
161,114.2622621,30.46749551,0.0,2.0,1.0,0.0
162,114.4832309,30.4660671,0.0,2.0,1.0,1.0
163,114.4783606,30.46724705,0.0,0.0,0.0,0.0
164,114.5946925,30.466105,1.0,1.0,3.0,4.0
165,114.258376,30.46862405,0.0,0.0,0.0,0.0
166,114.6109425,30.46324072,0.0,0.0,0.0,0.0
167,114.2448402,30.46924561,,,,
168,114.249617,30.46810116,0.0,0.0,0.0,0.0
169,114.3098389,30.46901119,0.0,0.0,0.0,0.0
170,114.2400015,30.46558332,0.0,0.0,0.0,0.0
171,114.4818299,30.47013766,0.0,0.0,0.0,0.0
172,114.3167571,30.46975389,0.0,0.0,0.0,0.0
173,114.5883218,30.46788556,,,,
174,114.2737251,30.47051042,0.0,0.0,0.0,0.0
175,114.2702624,30.4685056,0.0,2.0,1.0,0.0
176,114.3112777,30.4705897,0.0,0.0,0.0,0.0
177,114.3092254,30.47163016,0.0,0.0,0.0,0.0
178,114.2799476,30.47027663,,,,
179,114.2772268,30.47058168,0.0,0.0,0.0,0.0
180,114.3360284,30.46817107,0.0,2.0,1.0,1.0
181,114.2847604,30.46917098,0.0,0.0,0.0,0.0
182,114.3173596,30.47162352,0.0,2.0,1.0,0.0
183,114.3051096,30.4712247,0.0,0.0,0.0,0.0
184,114.3180273,30.47279665,0.0,0.0,0.0,0.0
185,114.3014509,30.47250005,0.0,0.0,0.0,0.0
186,114.2742295,30.47214049,0.0,0.0,0.0,0.0
187,114.348852,30.46891075,0.0,2.0,2.0,2.0
188,114.3118136,30.47266029,0.0,0.0,0.0,0.0
189,114.3093656,30.47278201,0.0,0.0,0.0,0.0
190,114.3399171,30.47261115,1.0,1.0,3.0,4.0
191,114.4837313,30.47170869,0.0,0.0,0.0,0.0
192,114.2515164,30.4730973,0.0,2.0,1.0,1.0
193,114.5991247,30.47292657,,,,
194,114.2709146,30.47256478,0.0,0.0,0.0,0.0
195,114.3159167,30.47339413,0.0,2.0,1.0,0.0
196,114.3089579,30.47409485,0.0,0.0,0.0,0.0
197,114.2748601,30.46886212,0.0,2.0,1.0,0.0
198,114.2805421,30.47489464,1.0,1.0,3.0,4.0
199,114.2786256,30.47365809,1.0,1.0,3.0,4.0
200,114.2834403,30.47395993,0.0,2.0,1.0,1.0
201,114.2864468,30.47410022,0.0,0.0,0.0,0.0
202,114.3009148,30.47464361,0.0,2.0,1.0,1.0
203,114.3468889,30.47473667,0.0,2.0,2.0,2.0
204,114.3534991,30.47425003,0.0,0.0,0.0,0.0
205,114.3578711,30.4735779,0.0,2.0,1.0,1.0
206,114.3984583,30.47371171,0.0,0.0,0.0,0.0
207,114.4018114,30.47386872,0.0,0.0,0.0,0.0
208,114.3607516,30.47088704,1.0,1.0,1.0,4.0
209,114.27504,30.47440738,0.0,0.0,0.0,0.0
210,114.3328638,30.47340835,0.0,2.0,1.0,3.0
211,114.2723995,30.47529785,0.0,0.0,0.0,0.0
212,114.3168397,30.47596697,0.0,0.0,0.0,0.0
213,114.3111551,30.47540405,0.0,0.0,0.0,0.0
214,114.3402114,30.47532023,1.0,1.0,3.0,4.0
215,114.2979601,30.46786046,1.0,2.0,1.0,4.0
216,114.335457,30.47454726,0.0,2.0,1.0,0.0
217,114.484768,30.47592666,0.0,0.0,0.0,0.0
218,114.3273358,30.47219132,,,,
219,114.4782726,30.47601086,0.0,2.0,1.0,1.0
220,114.2863262,30.47696595,1.0,1.0,2.0,4.0
221,114.5990301,30.47625101,,,,
222,114.5944574,30.47664718,,,,
223,114.5900387,30.47708412,,,,
224,114.5872134,30.47728683,,,,
225,114.3552472,30.47735588,0.0,0.0,0.0,0.0
226,114.3524841,30.47733447,0.0,2.0,2.0,2.0
227,114.5061487,30.47713909,0.0,0.0,0.0,0.0
228,114.2761101,30.47708288,0.0,0.0,0.0,0.0
229,114.5036852,30.47705876,,,,
230,114.2738523,30.47758649,0.0,0.0,0.0,0.0
231,114.2605617,30.47585876,0.0,0.0,1.0,0.0
232,114.4000722,30.47704917,0.0,0.0,0.0,0.0
233,114.2684427,30.47553292,0.0,0.0,0.0,0.0
234,114.357031,30.477462,0.0,0.0,0.0,0.0
235,114.3612111,30.47722336,0.0,2.0,1.0,1.0
236,114.3050524,30.47870075,0.0,2.0,2.0,2.0
237,114.3298205,30.47709493,0.0,0.0,0.0,0.0
238,114.2797245,30.47792368,0.0,0.0,0.0,0.0
239,114.2843206,30.47836609,0.0,2.0,1.0,0.0
240,114.291284,30.47802587,0.0,0.0,0.0,0.0
241,114.2766051,30.47915017,0.0,0.0,0.0,0.0
